surface,pronunciation
ホトケドジョウ,ホトケドジョー
ホホジロザメ,ホホジロザメ
ボララス,ボララス
ラスボラ,ラスボラ
ポリプテルス,ポリプテルス
ホワイトフィッシュ,ホワイトフィッシュ
ホンソメワケベラ,ホンソメワケベラ
ホンモロコ,ホンモロコ
マーリン,マーリン
マーレーコッド,マーレーコッド
マアジ,マアジ
マアナゴ,マアナゴ
マカジキ,マカジキ
マガレイ,マガレー
マグロ,マグロ
マゴチ,マゴチ
マサバ,マサバ
マス,マス
マスキー,マスキー
マスケランジ,マスケランジ
マダラ,マダラ
マダラタルミ,マダラタルミ
マダラトビエイ,マダラトビエイ
マツカサウオ,マツカサウオ
マツカワ,マツカワ
マツダイ,マツダイ
マトウダイ,マトーダイ
マナガツオ,マナガツオ
マハゼ,マハゼ
マハタ,マハタ
マフグ,マフグ
マブナ,マブナ
ママカリ,ママカリ
マルアオメエソ,マルアオメエソ
マルソウダ,マルソーダ
マンボウ,マンボー
ミカヅキツバメウオ,ミカヅキツバメウオ
ミシマオコゼ,ミシマオコゼ
ミズウオ,ミズウオ
ミスジリュウキュウスズメダイ,ミスジリュウキュウスズメダイ
ミズワニ,ミズワニ
ミツクリエナガチョウチンアンコウ,ミツクリエナガチョウチンアンコウ
ミツクリザメ,ミツクリザメ
ミツバヤツメ,ミツバヤツメ
ミツボシクロスズメダイ,ミツボシクロスズメダイ
ミツマタヤリウオ,ミツマタヤリウオ
ミドリフグ,ミドリフグ
ミナミハコフグ,ミナミハコフグ
ミナミハタンポ,ミナミハタンポ
ミナミマグロ,ミナミマグロ
ミノカサゴ,ミノカサゴ
ミミズハゼ,ミミズハゼ
ミヤコタナゴ,ミヤコタナゴ
ミヤベイワナ,ミヤベイワナ
ムギツク,ムギツク
ムツゴロウ,ムツゴロー
ムブナ,ムブナ
ムベンガ,ムベンガ
ムロアジ,ムロアジ
メイタガレイ,メイタガレー
メイチダイ,メーチダイ
メカジキ,メカジキ
メガマウス,メガマウス
メガロドン,メガロドン
メクラウナギ,メクラウナギ
メゴチ,メゴチ
グレ,グレ
メジロザメ,メジロザメ
メダイ,メダイ
メチニス,メチニス
メナダ,メナダ
メヌケ,メヌケ
オオサガ,オーサガ
バラメヌケ,バラメヌケ
メバチ,メバチ
メバル,メバル
メルルーサ,メルルーサ
メロ,メロ
モルミルス,モルミルス
モロコ,モロコ
クエ,クエ
モンガラカワハギ,モンガラカワハギ
モンガラドオシ,モンガラドオシ
ヤイトハタ,ヤイトハタ
ヤガラ,ヤガラ
ヤジブカ,ヤジブカ
ヤジリハゼ,ヤジリハゼ
ヤツメウナギ,ヤツメウナギ
ヤナギムシガレイ,ヤナギムシガレー
ヤマノカミ,ヤマノカミ
ヤマメ,ヤマメ
ヤリタナゴ,ヤリタナゴ
ユウゼン,ユーゼン
ユカタハタ,ユカタハタ
ユゴイ,ユゴイ
ヨウジウオ,ヨージウオ
ヨーロッパオオナマズ,ヨーロッパオオナマズ
ヨーロッパタナゴ,ヨーロッパタナゴ
ヨーロピアンシーバス,ヨーロピアンシーバス
ヨゴレ,ヨゴレ
ヨシノボリ,ヨシノボリ
ヨスジフエダイ,ヨスジフエダイ
ヨツメウオ,ヨツメウオ
ヨロイイタチウオ,ヨロイイタチウオ
ヨロイザメ,ヨロイザメ
ラージグラス,ラージグラス
ラッド,ラッド
ラブカ,ラブカ
ラミーノーズテトラ,ラミーノーズテトラ
リーフィーシードラゴン,リーフィーシードラゴン
リュウキュウアユ,リューキューアユ
リュウグウノツカイ,リュウグウノツカイ
ルックダウン,ルックダウン
ルリスズメダイ,ルリスズメダイ
ルリハタ,ルリハタ
レイクトラウト,レークトラウト
レインボーテトラ,レインボーテトラ
レインボーフィッシュ,レインボーフィッシュ
レオパードシャーク,レオパードシャーク
カリフォルニアドチザメ,カリフォルニアドチザメ
レッドテールキャットフィッシュ,レッドテールキャットフィッシュ
レッドテールブラックシャーク,レッドテールブラックシャーク
レモンザメ,レモンザメ
レンギョ,レンギョ
ロイヤルプレコ,ロイヤルプレコ
ロウニンアジ,ロウニンアジ
ワタカ,ワタカ
ワニエソ,ワニエソ
ワニトカゲギス,ワニトカゲギス
ワラサ,ワラサ
ワラスボ,ワラスボ
